epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mean_iou(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,23747.5,2.90679,2.53159,0.94074,0.30538,0.29233,0.2249,0.09753,0.69557,2.73024,5.41579,0.88726,0.000201611,0.000201611,0.000201611
73,24072.9,2.88748,2.5205,0.9404,0.30769,0.29124,0.22513,0.09815,0.69531,2.73158,5.40849,0.88739,0.000189475,0.000189475,0.000189475
74,24399.4,2.8929,2.52877,0.94798,0.31098,0.29118,0.22506,0.09812,0.69537,2.73578,5.41724,0.88848,0.000177651,0.000177651,0.000177651
75,24725.4,2.8815,2.4901,0.94235,0.30927,0.29271,0.22509,0.09793,0.69526,2.73792,5.42724,0.88976,0.000166149,0.000166149,0.000166149
76,25051.2,2.88449,2.50492,0.94107,0.30632,0.28949,0.22312,0.09714,0.69514,2.73949,5.41464,0.89036,0.000154982,0.000154982,0.000154982
77,25378.8,2.86283,2.47711,0.93802,0.30505,0.29243,0.22517,0.09751,0.69434,2.74006,5.45982,0.89062,0.000144161,0.000144161,0.000144161
78,25706.4,2.8887,2.50065,0.94326,0.30186,0.29,0.22285,0.09666,0.69412,2.74257,5.47282,0.89105,0.000133695,0.000133695,0.000133695
79,26033.6,2.87801,2.48118,0.94397,0.3034,0.29078,0.22264,0.09636,0.69457,2.74447,5.48865,0.89141,0.000123596,0.000123596,0.000123596
80,26364.4,2.88411,2.50705,0.94087,0.30486,0.28794,0.22184,0.09609,0.69453,2.74609,5.47237,0.89167,0.000113873,0.000113873,0.000113873
81,26696.6,2.85809,2.45907,0.93504,0.30876,0.28602,0.22144,0.09604,0.69475,2.74873,5.47993,0.89162,0.000104537,0.000104537,0.000104537
82,27025.7,2.8821,2.47318,0.93775,0.30592,0.28523,0.22131,0.09606,0.69438,2.74653,5.47466,0.89133,9.55951e-05,9.55951e-05,9.55951e-05
83,27356.4,2.86713,2.46637,0.93961,0.30592,0.28286,0.22138,0.09641,0.69489,2.74431,5.47898,0.89113,8.70577e-05,8.70577e-05,8.70577e-05
84,27689.3,2.88421,2.47358,0.94463,0.30658,0.28395,0.22132,0.09651,0.69484,2.74469,5.49015,0.89099,7.89327e-05,7.89327e-05,7.89327e-05
85,28020.5,2.85241,2.46594,0.9344,0.30699,0.28285,0.22137,0.09628,0.69481,2.74614,5.47779,0.89105,7.12282e-05,7.12282e-05,7.12282e-05
86,28349.4,2.86119,2.47051,0.94046,0.30321,0.28039,0.2206,0.09589,0.69483,2.74611,5.45964,0.89089,6.39518e-05,6.39518e-05,6.39518e-05
87,28678.9,2.86226,2.45083,0.93905,0.30589,0.27994,0.22126,0.09606,0.69457,2.74628,5.43892,0.89094,5.71106e-05,5.71106e-05,5.71106e-05
88,29006.8,2.85143,2.42552,0.93406,0.30475,0.27909,0.22149,0.0958,0.69414,2.74706,5.43633,0.89127,5.07115e-05,5.07115e-05,5.07115e-05
89,29335.3,2.83248,2.42565,0.92721,0.30336,0.27764,0.22127,0.09593,0.69431,2.74723,5.41994,0.89121,4.47606e-05,4.47606e-05,4.47606e-05
90,29663.6,2.85452,2.43326,0.93874,0.30119,0.27947,0.22168,0.09614,0.69434,2.74721,5.41653,0.89105,3.9264e-05,3.9264e-05,3.9264e-05
91,29993.4,2.85189,2.44171,0.93484,0.30202,0.27783,0.22153,0.0961,0.6945,2.7482,5.40116,0.89127,3.4227e-05,3.4227e-05,3.4227e-05
92,30321.7,2.84342,2.43373,0.93495,0.3026,0.2781,0.22172,0.09602,0.69434,2.74962,5.38902,0.89139,2.96546e-05,2.96546e-05,2.96546e-05
93,30650.7,2.85607,2.4441,0.93943,0.30345,0.27833,0.22199,0.09609,0.69486,2.75055,5.38006,0.89171,2.55513e-05,2.55513e-05,2.55513e-05
94,30977.8,2.85419,2.44436,0.93131,0.30517,0.2787,0.2223,0.09596,0.69507,2.74843,5.36887,0.89105,2.19212e-05,2.19212e-05,2.19212e-05
95,31307.8,2.85244,2.43856,0.93492,0.30538,0.27837,0.22211,0.09604,0.69493,2.75132,5.36536,0.89171,1.87678e-05,1.87678e-05,1.87678e-05
96,31635.7,2.84022,2.42888,0.9302,0.3068,0.27942,0.22153,0.09584,0.69498,2.74908,5.35426,0.89117,1.60943e-05,1.60943e-05,1.60943e-05
97,31962.5,2.84301,2.43182,0.93431,0.30369,0.2813,0.22188,0.09611,0.69497,2.74796,5.34534,0.89076,1.39032e-05,1.39032e-05,1.39032e-05
98,32288.8,2.85119,2.44449,0.93041,0.30416,0.28173,0.22179,0.09601,0.6949,2.74816,5.33719,0.89056,1.21968e-05,1.21968e-05,1.21968e-05
99,32619.3,2.84652,2.42977,0.93,0.30419,0.28192,0.22187,0.09605,0.69475,2.74749,5.32957,0.89044,1.09768e-05,1.09768e-05,1.09768e-05
100,32946.9,2.85405,2.42836,0.93134,0.30374,0.28333,0.2226,0.09621,0.69483,2.74737,5.32587,0.89025,1.02443e-05,1.02443e-05,1.02443e-05
